dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_tier,expected_tier,match
dataset_2026_05_06_1655,43,417987531,23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er,Stakin by The Tie,Rödelheim,DE,18221,18.22,fr2,fr2,yes
dataset_2026_05_06_1655,44,417987537,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,192097,192.10,mid,unknown,no
dataset_2026_05_06_1655,45,417987543,A9mvukTd77EbRoBX4ydSCFQHdu5bsRFkNXTTRstA8FAC,(no name),Frankfurt am Main,DE,18727,18.73,fr2,fr2,yes
dataset_2026_05_06_1655,46,417987548,AfZTWYoFQbzqCMmUBTD7XwxFvjob1FVyCvkaXRryxtKc,Digital Energy,Asia/Singapore,SG,427879,427.88,tyo,tyo,yes
dataset_2026_05_06_1655,47,417987555,32ke3uf1qL3xLqbwzU76T2sbG2XaJrGuSCNdUnien3zm,FalconX,be102.bhs-g1-nc5.qc.ca,,191581,191.58,mid,unknown,no
dataset_2026_05_06_1655,48,417987561,5essVpBYvocZkQnkrWsMDfRPwtp4BeihJRaweKLR4dRn,Certora Validator,New York,US,19673,19.67,fr2,mid,no
dataset_2026_05_06_1655,49,417987567,,(no data),,,17514,17.51,fr2,unknown,no
dataset_2026_05_06_1655,50,417987573,Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,(no name),Amsterdam,NL,18984,18.98,fr2,fr2,yes
dataset_2026_05_06_1655,51,417987579,GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46,(no name),Tokyo,JP,459750,459.75,tyo,tyo,yes
dataset_2026_05_06_1655,52,417987585,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,(no name),Amsterdam,NL,18009,18.01,fr2,fr2,yes
dataset_2026_05_06_1655,53,417987591,GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,(no name),Amsterdam,NL,17695,17.70,fr2,fr2,yes
dataset_2026_05_06_1655,54,417987597,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,(no name),Frankfurt am Main,DE,460676,460.68,tyo,fr2,no
dataset_2026_05_06_1655,55,417987603,CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ,(no data),,,458416,458.42,tyo,unknown,no
dataset_2026_05_06_1655,56,417987610,aXiomFkk6VzXaBhPuhMqTLZZguCFzzbyP9LTtZ7ZHLQ,Axiom,Frankfurt am Main,DE,16695,16.70,fr2,fr2,yes
dataset_2026_05_06_1655,57,417987615,6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,Pier Two,Frankfurt am Main,DE,16278,16.28,fr2,fr2,yes
dataset_2026_05_06_1655,58,417987621,,(no data),,,16771,16.77,fr2,unknown,no
dataset_2026_05_06_1655,59,417987626,5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,(no name),Frankfurt am Main,DE,22662,22.66,fr2,fr2,yes
dataset_2026_05_06_1655,60,417987632,FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k,(no name),Stockholm,SE,16909,16.91,fr2,fr2,yes
dataset_2026_05_06_1655,61,417987638,DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf,Firedancer Development,Frankfurt am Main,DE,16984,16.98,fr2,fr2,yes
dataset_2026_05_06_1655,62,417987644,8cnksBVjDPspn3AvmxJd8JKUdh4uWDDXzDemPmDctaHi,(no data),,,16176,16.18,fr2,unknown,no
dataset_2026_05_06_1655,63,417987650,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,(no name),Amsterdam,NL,19553,19.55,fr2,fr2,yes
dataset_2026_05_06_1655,64,417987656,sTepQGoReJq2tBKStL19DT6nnGHcGiAvFjyYaokLyuM,Step Finance,Singapore,SG,18321,18.32,fr2,tyo,no
dataset_2026_05_06_1655,65,417987662,HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,(no name),Singapore,SG,459450,459.45,tyo,tyo,yes
dataset_2026_05_06_1655,66,417987669,8yjHdsCgx3bp2zEwGiWSMgwpFaCSzfYAHT1vk7KJBqhN,JStaking: 0% fee · top returns,Fechenheim,DE,459144,459.14,tyo,fr2,no
dataset_2026_05_06_1655,67,417987676,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,18744,18.74,fr2,unknown,no
dataset_2026_05_06_1655,68,417987681,FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,(no data),,,17146,17.15,fr2,unknown,no
dataset_2026_05_06_1655,69,417987686,CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,Hamsa,Europe/Vilnius,LT,18559,18.56,fr2,fr2,yes
dataset_2026_05_06_1655,70,417987692,peNgUgnzs1jGogUPW8SThXMvzNpzKSNf3om78xVPAYx,(no data),,,193651,193.65,mid,unknown,no
dataset_2026_05_06_1655,71,417987698,Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,(no name),Amsterdam,NL,18817,18.82,fr2,fr2,yes
dataset_2026_05_06_1655,72,417987704,DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,(no name),Tokyo,JP,461279,461.28,tyo,tyo,yes
dataset_2026_05_06_1655,73,417987711,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,Kraken 2,America/Chicago,US,18369,18.37,fr2,mid,no
dataset_2026_05_06_1655,74,417987717,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,198461,198.46,mid,fr2,no
dataset_2026_05_06_1655,75,417987722,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,(no data),,,18148,18.15,fr2,unknown,no
dataset_2026_05_06_1655,76,417987728,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,Kraken 2,America/Chicago,US,18202,18.20,fr2,mid,no
